*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=Motherboard_no_names_PCB1_129990
*Date=11:13:54
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
118;;;61.2165;-95.804;0;Bottom;Via28
119;;;141.064;-67.0174;0;Bottom;TXT16
120;;THT;155.197;-53.6521;0;Bottom;J2
121;;;198.376;-111.044;0;Bottom;Via39
122;;THT;109.477;-122.474;0;Bottom;J69
123;;;147.569;-122.546;90;Bottom;TXT16
124;;THT;203.457;-136.444;-180;Bottom;J17
125;;;161.688;-115.56;0;Bottom;TXT16
126;;;11.9217;-16.2173;0;Top;TXT2
127;;;109.476;-95.804;0;Bottom;Via29
128;;THT;161.547;-118.664;90;Bottom;J22
129;;THT;16.7665;-93.264;90;Bottom;J81
130;;;66.2965;-113.584;0;Bottom;Via31
131;;THT;200.917;-14.524;0;Bottom;J10
132;;;169.619;-73.2263;0;Bottom;TXT16
133;;;184.077;-116.124;0;Bottom;TXT16
134;;THT;16.7665;-90.724;90;Bottom;J82
135;;THT;203.457;-123.282;-180;Bottom;J16
136;;THT;169.167;-70.404;90;Bottom;J25
137;;THT;67.9619;-122.474;180;Bottom;J13
138;;;145.036;-65.324;0;Bottom;Via43
139;;THT;141.227;-70.404;90;Bottom;J32
140;;;155.196;-113.584;0;Bottom;Via13
141;;;170.515;-122.544;90;Bottom;TXT16
142;;;152.599;-122.509;90;Bottom;TXT16
143;;THT;141.227;-9.444;90;Bottom;J63
144;;;136.476;-115.748;0;Bottom;TXT16
145;;THT;184.895;-42.464;90;Bottom;J75
146;;;122.176;-123.744;0;Bottom;Via4
147;;;206.252;-133.772;7.95139e-16;Bottom;TXT16
148;;;196.289;-11.4667;0;Top;TXT2
149;;THT;49.7726;-99.5964;180;Bottom;U8
150;;THT;38.3565;-90.724;90;Bottom;J71
151;;THT;86.6165;-133.123;180;Bottom;J12
152;220;THT;99.3165;-95.804;0;Bottom;R30
