*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=Motherboard_no_name_v2_PCB1_129990
*Date=18:15:50
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
118;;;184.077;-116.124;0;Bottom;TXT16
119;220;THT;51.0565;-103.424;0;Bottom;R31
120;;THT;174.247;-23.8094;90;Bottom;J72
121;;;7.87655;-6.90405;0;Bottom;Via38
122;;;147.576;-62.784;0;Bottom;Via46
123;;;167.896;-60.244;0;Bottom;Via11
124;;;155.194;-122.509;90;Bottom;TXT16
125;220;THT;99.3165;-103.424;0;Bottom;R29
126;;;89.6739;-86.0024;-90;Top;TXT2
127;;;132.522;-36.9864;0;Top;TXT2
128;;;126.316;-89.2188;-90;Bottom;TXT16
129;;;147.569;-122.546;90;Bottom;TXT16
130;;THT;200.917;-14.524;0;Bottom;J10
131;;THT;184.895;-42.464;90;Bottom;J75
132;;;175.516;-65.324;0;Bottom;Via9
133;;;134.323;-79.1527;0;Bottom;TXT13
134;;;197.642;-115.23;90;Top;TXT2
135;;THT;189.244;-53.6521;0;Bottom;J3
136;;;78.9965;-128.824;0;Bottom;Via20
137;;;135.99;-26.6323;0;Top;TXT2
138;;;12.9565;-111.044;0;Bottom;Via15
139;;THT;190.757;-136.444;0;Bottom;J77
140;220;THT;109.477;-108.504;-90;Bottom;R28
141;;;135.203;-51.0278;-90;Bottom;TXT16
142;;;161.688;-115.56;0;Bottom;TXT16
143;;;165.306;-122.456;90;Bottom;TXT16
144;;THT;16.7665;-93.264;90;Bottom;J81
145;;;96.7765;-133.904;0;Bottom;Via5
146;;;109.476;-95.804;0;Bottom;Via29
147;;;2.79655;-9.44405;0;Bottom;Via37
148;220;THT;51.0565;-95.804;0;Bottom;R32
149;;;169.619;-73.2263;0;Bottom;TXT16
150;;THT;155.197;-6.904;0;Bottom;J4
151;;;78.9965;-126.284;0;Bottom;Via19
152;;;193.988;-72.9393;0;Bottom;TXT16
153;;;145.036;-65.324;0;Bottom;Via43
154;;;206.252;-133.772;7.95139e-16;Bottom;TXT16
