*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=Motherboard_PCB1_129990
*Date=11:59:23
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
119;;;142.862;-13.3372;-90;Top;TXT2
120;;;201.557;-114.76;0;Top;TXT2
121;;THT;200.917;-27.224;0;Bottom;J79
122;;;135.203;-51.0278;-90;Bottom;TXT16
123;;;167.955;-36.5808;-90;Top;TXT2
124;;THT;86.6165;-57.704;0;Bottom;J36
125;;;39.0006;-35.7124;0;Top;TXT2
126;220;THT;51.0565;-95.804;0;Bottom;R32
127;;;162.064;-98.2499;-45;Bottom;TXT16
128;;;96.7765;-133.904;0;Bottom;Via5
129;;;157.724;-122.509;90;Bottom;TXT16
130;;;53.9274;-74.073;0;Top;TXT2
131;;;45.0793;-120.797;0;Top;TXT2
132;;THT;184.895;-42.464;90;Bottom;J75
133;;THT;86.6165;-9.66357;0;Bottom;J38
134;;;137.373;-123.813;90;Bottom;TXT16
135;;;165.306;-122.456;90;Bottom;TXT16
136;;;175.516;-65.324;0;Bottom;Via9
137;;THT;155.197;-6.904;0;Bottom;J4
138;;;51.0565;-123.744;0;Bottom;Via26
139;;;130.181;-52.1696;-90;Bottom;TXT16
140;;;127.539;-13.3787;-90;Top;TXT2
141;;THT;200.917;-130.094;-180;Bottom;J15
142;;;197.642;-115.23;90;Top;TXT2
143;;;86.533;-33.9408;0;Bottom;PCB2
144;;;3.90056;-14.491;-90;Top;TXT2
145;;;7.59431;-107.237;-90;Top;TXT2
146;;;122.675;-14.4312;-90;Top;TXT2
147;;;36.7104;-85.8501;-90;Top;TXT2
148;;THT;49.7726;-99.5964;180;Bottom;U8
149;;THT;98.0326;-99.5964;180;Bottom;U7
150;;;136.476;-115.748;0;Bottom;TXT16
151;;;112.038;-110.219;0;Top;TXT2
152;;THT;38.3565;-9.66357;0;Bottom;J67
153;;;60.0676;-95.6766;0;Bottom;TXT16
154;;;173.376;-13.8008;-90;Bottom;TXT2
155;;;185.707;-39.1004;0;Bottom;TXT2
156;;THT;167.897;-9.444;90;Bottom;J76
157;;;200.916;-105.964;0;Bottom;Via40
158;;;184.077;-116.124;0;Bottom;TXT16
159;;;87.2245;-34.6704;0;Top;TXT2
160;;;99.1759;-95.232;0;Top;TXT2
161;;;125.061;-13.3618;-90;Top;TXT2
162;;;122.176;-123.744;0;Bottom;Via4
163;;;77.2961;-122.376;0;Top;TXT2
164;;;178.056;-121.204;0;Bottom;Via42
165;;THT;127.257;-91.994;0;Bottom;J31
166;;THT;141.227;-70.404;90;Bottom;J32
167;;;141.064;-67.0174;0;Bottom;TXT16
168;;;78.9965;-128.824;0;Bottom;Via20
169;;;132.431;-44.4949;0;Top;TXT2
170;;;48.07;-128.646;0;Top;TXT2
171;;THT;16.7665;-116.124;-90;Bottom;J5
172;;;174.175;-30.6685;0;Bottom;TXT2
173;;THT;124.717;-91.994;0;Bottom;J30
174;;;51.0565;-131.364;0;Bottom;Via27
175;;;163.254;-13.7111;-90;Bottom;TXT2
176;;;205.246;-125.955;7.95139e-16;Bottom;TXT16
177;;;101.856;-105.964;0;Bottom;Via30
178;;;175.799;-54.1221;-90;Top;TXT2
179;;;119.636;-72.944;0;Bottom;Via1
180;;;168.32;-12.8937;-90;Bottom;TXT2
181;220;THT;114.557;-108.504;-90;Bottom;R22
182;;;11.9217;-16.2173;0;Top;TXT2
183;;;2.79655;-9.44405;0;Bottom;Via37
184;;;165.732;-13.728;-90;Bottom;TXT2
185;;THT;16.7665;-93.264;90;Bottom;J81
186;;;167.824;-122.544;90;Bottom;TXT16
187;;;61.2165;-100.884;0;Bottom;Via32
188;;THT;203.457;-136.444;-180;Bottom;J17
189;;;170.762;-55.164;-90;Top;TXT2
190;;THT;200.917;-14.524;0;Bottom;J10
191;;;61.2165;-95.804;0;Bottom;Via28
192;;;90.3508;-122.897;-90;Top;TXT2
